model,n_ok,K_median_mean,pr_K_true_mean,ari_minVI_mean,vi_minVI_mean,ari_binder_mean,vi_binder_mean
BT-SBM,9,4.555555555555555,0.41255555555555556,0.7673566163684624,0.7287145040491649,0.7915687001003613,0.7650334449777904
RCBTL,1,18,0,0.177679022937052,2.73593352113975,0.0893359836646136,3.4954471883691
