"model","n_rows","n_runs","rmse_mean","ari_mean","elpd_loo_mean","looic_mean"
"BT",1,1,3.1265942724046e+20,NA,-1203.61620145886,2407.23240291771
"BT-SBM",1,1,0.484134953934452,0.964368216256557,-840.22499640464,1680.44999280928
"RCBTL",1,1,1.39639336109988,0.8197166807805,-861.344392695529,1722.68878539106
