design,K_true,model,n_ok,rmse_mean,rmse_median,mae_mean,rmse_rel_mean,mae_rel_mean,mean_abs_log_ratio_mean,rms_log_ratio_mean,spearman_mean,kendall_mean,pearson_mean
design1,3,BT-SBM,1,0.47621113526115,0.47621113526115,0.254221204705671,NA,NA,NA,NA,0.847639655161566,0.722655462404156,0.989991232032873
design1,3,RCBTL,1,1.05767441151083,1.05767441151083,0.392740989940937,NA,NA,NA,NA,0.841435537915399,0.718423907972382,0.947120901934713
design1,3,BT,1,2.571018283563008,2.571018283563008,1.1637474508742849,NA,NA,NA,NA,0.8694138848354414,0.7424027164191039,0.9495649239326583
design1,5,BT-SBM,1,16.1530569591945,16.1530569591945,6.6566888161446,NA,NA,NA,NA,0.906639308978576,0.813163040314459,0.984596393460696
design1,5,BT,1,99.05298931461192,99.05298931461192,34.79422835950849,NA,NA,NA,NA,0.9169455198463484,0.8186460708840583,0.8920356969129015
design1,7,BT,1,363.5527758150606,363.5527758150606,46.2214530789981,NA,NA,NA,NA,0.891138581392953,0.7911300852584621,0.7070805979279033
design1,7,BT-SBM,1,423.351043440626,423.351043440626,64.6849501478429,NA,NA,NA,NA,0.882215124299422,0.787049274213895,0.50434041036674
design2,3,BT-SBM,1,0.552215573712411,0.552215573712411,0.180372488092963,NA,NA,NA,NA,0.845828637107193,0.700078488535314,0.991887534966086
design2,3,BT,1,0.981599208895645,0.981599208895645,0.5809279032007619,NA,NA,NA,NA,0.8458286371071929,0.7000784885353142,0.9773622870986444
design2,5,BT-SBM,1,15.8491093422159,15.8491093422159,6.19737643142294,NA,NA,NA,NA,0.951352987558641,0.858943865442072,0.933267496106766
design2,5,BT,1,22.96044449427829,22.96044449427829,7.637534389864936,NA,NA,NA,NA,0.9519310143223276,0.8575072165165251,0.8848156978706117
design2,7,BT,1,187.74661449044575,187.74661449044575,54.95563552121764,NA,NA,NA,NA,0.960094636429746,0.8768171318364559,0.859315341610574
design2,7,BT-SBM,1,333.322632322831,333.322632322831,94.4076583243375,NA,NA,NA,NA,0.952157703007837,0.863348348217781,0.683679651091492
design3,3,BT-SBM,1,1.11534726339196,1.11534726339196,0.529103120411968,NA,NA,NA,NA,0.827064441367512,0.703211561925131,0.991354362015092
design3,3,BT,1,2.2402919905671284,2.2402919905671284,0.9698042300899348,NA,NA,NA,NA,0.8270644413675123,0.7032115619251309,0.923780866471666
design3,5,BT-SBM,1,40.5197957688265,40.5197957688265,12.6997785540172,NA,NA,NA,NA,0.899941226526409,0.78728353168146,0.785972189944909
design3,5,BT,1,51.05850882486102,51.05850882486102,12.532647442568926,NA,NA,NA,NA,0.9041208578845767,0.7967429328944767,0.9035730369733892
design3,7,BT,1,149.18485039831037,149.18485039831037,21.944279815490408,NA,NA,NA,NA,0.9474234799326614,0.8514763982087199,0.9283391134572824
design3,7,BT-SBM,1,244.166160550988,244.166160550988,33.4890849139771,NA,NA,NA,NA,0.92915913051956,0.832761731939104,0.474896636136032
