"design","n","n_pairs","K_true","run","seed","T_iter","T_burn","gamma_true","p_adj","model","rmse","spearman","ari","vi","K_mean","K_ci_low","K_ci_high","elpd_loo","elpd_loo_se","p_loo","looic","loo_draws_used","fit_n_chains","fit_n_iters","rhat_lambda_max","ess_lambda_min","ess_lambda_median","rhat_K_max","ess_K_min","ess_K_median"
"design1",105,5460,3,1,123,15000,5000,0.71,0.85,"RCBTL",1.39639336109988,0.872854352329637,0.8197166807805,0.764606896685333,16.8874499999999,14,20,-861.344392695529,27.3525408829183,42.571573652479,1722.68878539106,2000,4,5000,5.91778186167138,13.95275885626,181.067928894747,1.01561611156247,343.894625317704,343.894625317704
"design1",105,5460,3,1,123,15000,5000,0.71,0.85,"BT",3.1265942724046e+20,0.862920689019377,NA,NA,NA,NA,NA,-1203.61620145886,29.3763022053819,-2.66453525910038e-14,2407.23240291771,2000,4,5000,0.999998100200342,20442.5056666089,20442.505666609,NA,NA,NA
"design1",105,5460,3,1,123,15000,5000,0.71,0.85,"BT-SBM",0.484134953934452,0.873963295824534,0.964368216256557,0.133738338251082,3.26935,3,5,-840.22499640464,28.6418725495937,17.657960942451,1680.44999280928,2000,4,5000,1.2246395876618,1579.17439922479,7502.81203910988,1.00868259210651,983.926096182173,983.926096182173
