"design","n","n_pairs","K_true","run","seed","T_iter","T_burn","gamma_true","p_adj","model","rmse","spearman","ari","vi","K_mean","K_ci_low","K_ci_high","elpd_loo","elpd_loo_se","p_loo","looic","loo_draws_used"
"design1",105,5460,3,1,123,15000,5000,0.71,0.85,"RCBTL",1.39639336109988,0.872854352329637,0.8197166807805,0.764606896685333,16.8874499999999,14,20,-861.344392695529,27.3525408829183,42.571573652479,1722.68878539106,2000
"design1",105,5460,3,1,123,15000,5000,0.71,0.85,"BT-SBM",0.484134953934452,0.873963295824534,0.964368216256557,0.133738338251082,3.26935,3,5,-840.22499640464,28.6418725495937,17.657960942451,1680.44999280928,2000
