"run","seed","model","quantity","n_chains","n_params","mpsrf","max_psrf_point","max_psrf_upper","median_psrf_upper"
1,123,"BT","log_lambda",4,105,NA,1.00002556081648,1.00015506406397,1.00015506406397
1,123,"RCBTL","log_omega",4,105,5.92311377395114,3.79830350430063,7.4501126445424,1.26310653441614
1,123,"RCBTL","K",4,1,NA,1.01463983695424,1.04126469371302,1.04126469371302
1,123,"BT-SBM","log_lambda",4,105,NA,1.23456253351459,1.51732295280152,1.00238606757971
1,123,"BT-SBM","K",4,1,NA,1.02452771082459,1.05473037492588,1.05473037492588
