a,gamma,T_iter,T_burn,thin,elapsed_sec,K_true,K_mode,K_median,pr_K_true,vi_minVI,vi_mean,vi_median
1,0.71,10000,2000,2,31.832999999984168,5,24,24,7.5e-4,0.9969547209858494,2.6746753364765836,2.725603617303653
2,0.71,10000,2000,2,22.49600000004284,5,5,6,0.49375,1.3093588971905432,1.5166750896576897,1.5167852330092833
3,0.71,10000,2000,2,23.336000000010245,5,5,5,0.81475,1.4521226364562487,1.5521403537097878,1.5583447555597534
4,0.71,10000,2000,2,22.506999999983236,5,5,5,0.934,1.4378256209201004,1.566196169180447,1.5731870714105827
